2026-06-22 11:51:46,005930,BUY,357000
2026-06-22 11:51:52,005930,BUY,356500
2026-06-22 11:51:59,005930,BUY,356500
2026-06-22 11:52:09,005930,BUY,357000
2026-06-22 11:52:17,005930,BUY,357000
2026-06-22 11:52:23,005930,BUY,356500
2026-06-22 11:52:29,005930,BUY,356750
2026-06-22 11:52:35,005930,BUY,356500
2026-06-22 11:52:41,005930,BUY,357000
2026-06-22 11:52:47,005930,BUY,357000
2026-06-22 11:52:54,005930,BUY,357000
2026-06-22 11:53:03,005930,BUY,357000
2026-06-22 11:53:09,005930,BUY,357000
2026-06-22 11:53:15,005930,BUY,356500
2026-06-22 11:53:21,005930,BUY,357000
2026-06-22 11:53:27,005930,BUY,356500
2026-06-22 11:53:33,005930,BUY,356500
2026-06-22 11:53:39,005930,BUY,357000
2026-06-22 11:53:45,005930,BUY,357000
2026-06-22 11:53:51,005930,BUY,356500
2026-06-22 11:54:05,005930,BUY,356500
